INFO     core.jenkins_utils:jenkins_utils.py:210 running cleanup
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('xpath', "//h1[text()='New Item']"),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    NewItemPage:base_page.py:25 Page content loaded: http://localhost:8080/view/all/newJob
DEBUG    NewItemPage:ui_element.py:28 waiting for presence_of_element_located(('css selector', '#name'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.20F11193CB495105F4203C07916F6C18.e.54/value HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('css selector', '[class*="cloudbees_hudson_plugins_folder"]'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.20F11193CB495105F4203C07916F6C18.e.96/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.20F11193CB495105F4203C07916F6C18.e.96/click HTTP/1.1" 200 0
DEBUG    NewItemPage:ui_element.py:28 waiting for element_to_be_clickable(('css selector', '#ok-button'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.20F11193CB495105F4203C07916F6C18.e.97/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.20F11193CB495105F4203C07916F6C18.e.97/click HTTP/1.1" 200 0
